modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
3072,1755,16,0.99,"{""z"": 128, ""m"": 1535, ""s"": 14, ""l"": 110, ""algorithms"": [""EH17"", ""E20""]}"
3072,1741,17,0.99,"{""z"": 128, ""m"": 1535, ""s"": 15, ""l"": 103, ""algorithms"": [""EH17"", ""E20""]}"
3072,1727,18,0.99,"{""z"": 128, ""m"": 1535, ""s"": 16, ""l"": 96, ""algorithms"": [""EH17"", ""E20""]}"
3072,1717,19,0.99,"{""z"": 128, ""m"": 1535, ""s"": 17, ""l"": 91, ""algorithms"": [""EH17"", ""E20""]}"
3072,1707,20,0.99,"{""z"": 128, ""m"": 1535, ""s"": 18, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
3072,1697,22,0.99,"{""z"": 128, ""m"": 1535, ""s"": 19, ""l"": 81, ""algorithms"": [""EH17"", ""E20""]}"
3072,1689,23,0.99,"{""z"": 128, ""m"": 1535, ""s"": 20, ""l"": 77, ""algorithms"": [""EH17"", ""E20""]}"
3072,1683,24,0.99,"{""z"": 128, ""m"": 1535, ""s"": 21, ""l"": 74, ""algorithms"": [""EH17"", ""E20""]}"
3072,1675,26,0.99,"{""z"": 128, ""m"": 1535, ""s"": 22, ""l"": 70, ""algorithms"": [""EH17"", ""E20""]}"
3072,1669,27,0.99,"{""z"": 128, ""m"": 1535, ""s"": 23, ""l"": 67, ""algorithms"": [""EH17"", ""E20""]}"
3072,1663,28,0.99,"{""z"": 128, ""m"": 1535, ""s"": 24, ""l"": 64, ""algorithms"": [""EH17"", ""E20""]}"
3072,1659,29,0.99,"{""z"": 128, ""m"": 1535, ""s"": 25, ""l"": 62, ""algorithms"": [""EH17"", ""E20""]}"
3072,1655,31,0.99,"{""z"": 128, ""m"": 1535, ""s"": 26, ""l"": 60, ""algorithms"": [""EH17"", ""E20""]}"
3072,1649,32,0.99,"{""z"": 128, ""m"": 1535, ""s"": 27, ""l"": 57, ""algorithms"": [""EH17"", ""E20""]}"
3072,1645,34,0.99,"{""z"": 128, ""m"": 1535, ""s"": 28, ""l"": 55, ""algorithms"": [""EH17"", ""E20""]}"
3072,1641,35,0.99,"{""z"": 128, ""m"": 1535, ""s"": 29, ""l"": 53, ""algorithms"": [""EH17"", ""E20""]}"
3072,1639,36,0.99,"{""z"": 128, ""m"": 1535, ""s"": 30, ""l"": 52, ""algorithms"": [""EH17"", ""E20""]}"
3072,1635,38,0.99,"{""z"": 128, ""m"": 1535, ""s"": 31, ""l"": 50, ""algorithms"": [""EH17"", ""E20""]}"
3072,1631,40,0.99,"{""z"": 128, ""m"": 1535, ""s"": 32, ""l"": 48, ""algorithms"": [""EH17"", ""E20""]}"
3072,1629,41,0.99,"{""z"": 128, ""m"": 1535, ""s"": 33, ""l"": 47, ""algorithms"": [""EH17"", ""E20""]}"
3072,1627,42,0.99,"{""z"": 128, ""m"": 1535, ""s"": 34, ""l"": 46, ""algorithms"": [""EH17"", ""E20""]}"
3072,1623,45,0.99,"{""z"": 128, ""m"": 1535, ""s"": 35, ""l"": 44, ""algorithms"": [""EH17"", ""E20""]}"
4096,6041,1,0.999,"{""z"": 152, ""m"": 2047, ""delta"": 50, ""l"": 1997, ""pp_tau"": 11, ""pp_t"": 27, ""pp_complexity"": 34.1, ""algorithms"": [""EH17"", ""E23p""]}"
4096,6081,1,0.9999,"{""z"": 152, ""m"": 2047, ""delta"": 30, ""l"": 2017, ""pp_tau"": 16, ""pp_t"": 17, ""pp_complexity"": 26.6, ""algorithms"": [""EH17"", ""E23p""]}"
4096,6099,1,0.9999,"{""z"": 152, ""m"": 2047, ""delta"": 21, ""l"": 2026, ""pp_tau"": 16, ""pp_t"": 12, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
4096,6101,1,0.999,"{""z"": 152, ""m"": 2047, ""delta"": 20, ""l"": 2027, ""pp_tau"": 11, ""pp_t"": 12, ""pp_complexity"": 19.1, ""algorithms"": [""EH17"", ""E23p""]}"
4096,4095,3,0.99,"{""z"": 152, ""m"": 2047, ""s"": 2, ""l"": 1024, ""algorithms"": [""EH17"", ""E20""]}"
4096,3413,4,0.99,"{""z"": 152, ""m"": 2047, ""s"": 3, ""l"": 683, ""algorithms"": [""EH17"", ""E20""]}"
4096,3071,5,0.99,"{""z"": 152, ""m"": 2047, ""s"": 4, ""l"": 512, ""algorithms"": [""EH17"", ""E20""]}"
4096,2867,6,0.99,"{""z"": 152, ""m"": 2047, ""s"": 5, ""l"": 410, ""algorithms"": [""EH17"", ""E20""]}"
4096,2731,7,0.99,"{""z"": 152, ""m"": 2047, ""s"": 6, ""l"": 342, ""algorithms"": [""EH17"", ""E20""]}"
4096,2633,8,0.99,"{""z"": 152, ""m"": 2047, ""s"": 7, ""l"": 293, ""algorithms"": [""EH17"", ""E20""]}"
4096,2559,9,0.99,"{""z"": 152, ""m"": 2047, ""s"": 8, ""l"": 256, ""algorithms"": [""EH17"", ""E20""]}"
4096,2503,10,0.99,"{""z"": 152, ""m"": 2047, ""s"": 9, ""l"": 228, ""algorithms"": [""EH17"", ""E20""]}"
4096,2457,11,0.99,"{""z"": 152, ""m"": 2047, ""s"": 10, ""l"": 205, ""algorithms"": [""EH17"", ""E20""]}"
4096,2421,12,0.99,"{""z"": 152, ""m"": 2047, ""s"": 11, ""l"": 187, ""algorithms"": [""EH17"", ""E20""]}"
4096,2389,13,0.99,"{""z"": 152, ""m"": 2047, ""s"": 12, ""l"": 171, ""algorithms"": [""EH17"", ""E20""]}"
4096,2363,14,0.99,"{""z"": 152, ""m"": 2047, ""s"": 13, ""l"": 158, ""algorithms"": [""EH17"", ""E20""]}"
4096,2341,15,0.99,"{""z"": 152, ""m"": 2047, ""s"": 14, ""l"": 147, ""algorithms"": [""EH17"", ""E20""]}"
4096,2321,16,0.99,"{""z"": 152, ""m"": 2047, ""s"": 15, ""l"": 137, ""algorithms"": [""EH17"", ""E20""]}"
4096,2303,18,0.99,"{""z"": 152, ""m"": 2047, ""s"": 16, ""l"": 128, ""algorithms"": [""EH17"", ""E20""]}"
4096,2289,19,0.99,"{""z"": 152, ""m"": 2047, ""s"": 17, ""l"": 121, ""algorithms"": [""EH17"", ""E20""]}"
4096,2275,20,0.99,"{""z"": 152, ""m"": 2047, ""s"": 18, ""l"": 114, ""algorithms"": [""EH17"", ""E20""]}"
4096,2263,21,0.99,"{""z"": 152, ""m"": 2047, ""s"": 19, ""l"": 108, ""algorithms"": [""EH17"", ""E20""]}"
4096,2253,22,0.99,"{""z"": 152, ""m"": 2047, ""s"": 20, ""l"": 103, ""algorithms"": [""EH17"", ""E20""]}"
4096,2243,23,0.99,"{""z"": 152, ""m"": 2047, ""s"": 21, ""l"": 98, ""algorithms"": [""EH17"", ""E20""]}"
4096,2235,25,0.99,"{""z"": 152, ""m"": 2047, ""s"": 22, ""l"": 94, ""algorithms"": [""EH17"", ""E20""]}"
4096,2225,26,0.99,"{""z"": 152, ""m"": 2047, ""s"": 23, ""l"": 89, ""algorithms"": [""EH17"", ""E20""]}"
4096,2219,27,0.99,"{""z"": 152, ""m"": 2047, ""s"": 24, ""l"": 86, ""algorithms"": [""EH17"", ""E20""]}"
4096,2211,29,0.99,"{""z"": 152, ""m"": 2047, ""s"": 25, ""l"": 82, ""algorithms"": [""EH17"", ""E20""]}"
