modulus_bitlength,num_input_qubits,num_shots,pp_success_probability,details
3072,304,17,0.99,"{""z"": 128, ""m"": 256, ""s"": 11, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
3072,300,20,0.99,"{""z"": 128, ""m"": 256, ""s"": 12, ""l"": 22, ""algorithms"": [""EH17"", ""E20""]}"
3072,296,23,0.99,"{""z"": 128, ""m"": 256, ""s"": 13, ""l"": 20, ""algorithms"": [""EH17"", ""E20""]}"
4096,812,1,0.999,"{""z"": 152, ""m"": 304, ""delta"": 50, ""l"": 254, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
4096,852,1,0.9999,"{""z"": 152, ""m"": 304, ""delta"": 30, ""l"": 274, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
4096,872,1,0.999999,"{""z"": 152, ""m"": 304, ""delta"": 20, ""l"": 284, ""pp_tau"": 20, ""pp_t"": 14, ""pp_complexity"": 23.6, ""algorithms"": [""EH17"", ""E23p""]}"
4096,912,1,0.9999999999,"{""z"": 152, ""m"": 304, ""delta"": 0, ""l"": 304, ""pp_tau"": 32, ""pp_t"": 2, ""pp_complexity"": 22.1, ""algorithms"": [""EH17"", ""E23p""]}"
4096,608,3,0.99,"{""z"": 152, ""m"": 304, ""s"": 2, ""l"": 152, ""algorithms"": [""EH17"", ""E20""]}"
4096,508,4,0.99,"{""z"": 152, ""m"": 304, ""s"": 3, ""l"": 102, ""algorithms"": [""EH17"", ""E20""]}"
4096,456,5,0.99,"{""z"": 152, ""m"": 304, ""s"": 4, ""l"": 76, ""algorithms"": [""EH17"", ""E20""]}"
4096,426,6,0.99,"{""z"": 152, ""m"": 304, ""s"": 5, ""l"": 61, ""algorithms"": [""EH17"", ""E20""]}"
4096,406,8,0.99,"{""z"": 152, ""m"": 304, ""s"": 6, ""l"": 51, ""algorithms"": [""EH17"", ""E20""]}"
4096,392,9,0.99,"{""z"": 152, ""m"": 304, ""s"": 7, ""l"": 44, ""algorithms"": [""EH17"", ""E20""]}"
4096,380,11,0.99,"{""z"": 152, ""m"": 304, ""s"": 8, ""l"": 38, ""algorithms"": [""EH17"", ""E20""]}"
4096,372,12,0.99,"{""z"": 152, ""m"": 304, ""s"": 9, ""l"": 34, ""algorithms"": [""EH17"", ""E20""]}"
4096,366,14,0.99,"{""z"": 152, ""m"": 304, ""s"": 10, ""l"": 31, ""algorithms"": [""EH17"", ""E20""]}"
4096,360,16,0.99,"{""z"": 152, ""m"": 304, ""s"": 11, ""l"": 28, ""algorithms"": [""EH17"", ""E20""]}"
4096,356,18,0.99,"{""z"": 152, ""m"": 304, ""s"": 12, ""l"": 26, ""algorithms"": [""EH17"", ""E20""]}"
4096,352,20,0.99,"{""z"": 152, ""m"": 304, ""s"": 13, ""l"": 24, ""algorithms"": [""EH17"", ""E20""]}"
4096,348,24,0.99,"{""z"": 152, ""m"": 304, ""s"": 14, ""l"": 22, ""algorithms"": [""EH17"", ""E20""]}"
6144,956,1,0.999,"{""z"": 176, ""m"": 352, ""delta"": 50, ""l"": 302, ""pp_tau"": 10, ""pp_t"": 29, ""pp_complexity"": 33.6, ""algorithms"": [""EH17"", ""E23p""]}"
6144,996,1,0.9999,"{""z"": 176, ""m"": 352, ""delta"": 30, ""l"": 322, ""pp_tau"": 14, ""pp_t"": 17, ""pp_complexity"": 25.6, ""algorithms"": [""EH17"", ""E23p""]}"
